rmcase,type,adult,month,whtdy,wchma,nmcrb
1145,2,1,2,31,4,5
1145,2,1,3,1,4,4
1145,2,1,3,30,4,3
1146,2,1,2,30,11,1
1147,2,1,2,30,6,2
1148,2,1,3,30,8,2
1149,2,1,2,6,7,5
1149,2,1,2,27,7,5
1149,2,1,2,28,7,5
1149,2,1,2,29,7,5
1150,2,1,2,29,6,3
1151,2,1,2,29,7,4
1152,2,1,2,29,8,2
1153,2,1,2,29,6,1
1154,2,1,2,29,6,4
1155,2,1,2,2,4,5
1155,2,1,2,22,4,5
1155,2,1,2,29,4,2
1156,2,1,2,29,4,2
1156,2,1,2,30,4,3
1157,2,1,2,7,3,1
1157,2,1,2,29,3,2
1158,2,1,2,29,5,5
1158,2,1,2,30,5,5
1159,2,1,2,29,6,5
1160,2,1,2,29,4,5
1161,2,1,2,15,4,2
1161,2,1,2,28,4,2
1162,2,1,2,10,8,3
1162,2,1,3,28,8,5
1163,2,1,2,28,4,4
1163,2,1,2,29,4,3
1164,2,1,2,32,4,5
1164,2,1,2,32,4,5
1164,2,1,3,28,4,5
1164,2,1,3,32,4,5
1165,2,1,2,7,5,5
1165,2,1,2,15,5,5
1165,2,1,2,22,5,5
1165,2,1,2,27,5,5
1165,2,1,2,28,5,5
1166,2,1,3,21,6,5
1166,2,1,3,24,6,5
1166,2,1,3,28,8,3
1167,2,1,2,28,4,2
1168,2,1,3,28,6,4
1169,2,1,3,27,4,5
1169,2,1,3,28,4,5
1169,2,1,3,31,4,5
1170,2,1,2,27,4,5
1170,2,1,2,28,4,5
1170,2,1,2,29,4,5
1170,2,1,2,30,4,5
1170,2,1,2,31,4,5
1171,2,1,2,27,5,5
1171,2,1,2,28,5,5
1172,2,1,3,27,4,5
1173,2,1,3,18,3,5
1173,2,1,3,19,3,5
1173,2,1,3,27,3,3
1174,2,1,2,27,3,5
1174,2,1,2,28,3,5
1174,2,1,2,29,3,5
1175,2,1,3,7,8,5
1175,2,1,3,20,8,2
1175,2,1,3,27,8,4
1176,2,1,2,2,9,3
1176,2,1,2,3,9,5
1176,2,1,2,9,9,5
1176,2,1,2,23,9,5
1176,2,1,2,27,9,5
1176,2,1,3,27,9,5
1177,2,1,2,27,6,3
1177,2,1,2,28,6,2
1177,2,1,2,29,6,4
1178,2,1,2,14,6,3
1178,2,1,2,27,6,3
1178,2,1,2,28,6,4
1178,2,1,3,11,6,2
1178,2,1,3,26,6,3
1179,2,1,3,26,4,4
1179,2,1,4,2,4,3
1180,2,1,2,26,4,5
1180,2,1,2,27,4,5
1181,2,1,2,10,9,2
1181,2,1,2,18,8,1
